0,SOMER BASS,3,4,8,3,0,10,3,8,5,2,8,2,4
1,TYESHA JOHNSON,3,4,7,1,1,9,1,5,2,3,7,0,1
2,TRINA DYER,4,6,2,1,6,9,6,2,5,8,5,10,0
3,SUEANN ROSE,0,6,10,7,5,6,3,1,2,9,10,3,5
4,GINA FLOOD,5,4,4,10,10,4,4,3,0,3,7,6,10
5,MAC GRANT,5,10,2,10,7,10,9,2,6,4,5,10,3
6,ANNAMARIE LOGAN,9,0,6,6,10,6,10,4,9,2,5,1,3
7,PRISCILA OCAMPO,5,4,3,4,6,6,8,8,3,9,1,9,3
8,RONDA GOULD,5,7,9,5,10,3,4,4,5,5,1,10,5
9,LUCIANA BROWNE,0,9,10,6,0,4,0,10,6,10,2,0,5
10,WILHELMINA ROGERS,4,4,0,7,7,10,4,2,5,4,2,6,7
11,WENDOLYN BROUSSARD,9,5,8,2,10,4,2,5,4,2,1,0,1
12,MARINDA DOLAN,9,2,2,8,8,5,7,0,7,10,3,5,1
13,MAGALI YEAGER,6,0,1,5,10,1,1,1,4,2,6,7,6
14,BRIGETTE HILL,5,3,0,4,2,3,8,8,9,1,0,0,5
15,ANGLA HOUSTON,5,2,2,5,0,9,1,8,0,0,8,6,4
16,ERIN RICHEY,4,4,2,4,2,8,10,4,6,9,8,7,1
17,SCARLET SKAGGS,6,10,2,2,9,2,10,2,5,1,0,2,7
18,YUONNE THOMPSON,3,5,3,9,7,9,5,2,2,5,1,3,3
19,ELROY ARMSTRONG,3,4,3,7,4,4,3,7,4,10,7,8,10
20,DWAIN CURRY,2,7,4,5,7,4,8,2,1,3,7,2,4
21,STEFFANIE SLAUGHTER,10,8,3,2,9,9,10,10,0,8,10,10,8
22,MELINA GIVENS,9,7,6,1,3,6,9,5,6,0,0,8,3
23,PARIS WEBB,8,0,4,0,9,8,1,5,3,6,4,7,7
24,KARMEN HAYES,3,2,10,7,7,6,9,0,2,8,9,3,5
25,ALTHA SORIANO,3,3,2,9,2,7,9,2,7,3,10,9,8
26,EUGENIO HAMMOND,3,9,9,1,1,6,1,6,9,8,1,6,2
27,JEANNE HADLEY,8,7,7,10,5,3,8,4,9,10,9,6,1
28,LOUIE SWEET,3,10,5,6,6,1,3,5,5,5,1,8,4
29,ELMO CASTANEDA,7,7,6,8,0,5,9,5,4,2,4,9,6
30,MAURICE BASSETT,7,6,3,3,5,2,1,10,9,1,6,10,10
31,KURTIS WILKERSON,7,1,2,7,3,2,0,1,7,5,5,0,10
32,ALLENE CRUMP,5,4,10,7,3,8,7,2,8,10,10,2,4
33,WINFORD MOSELEY,8,9,0,0,4,10,7,1,10,6,6,2,4
34,KELSI SPEARS,9,2,4,3,4,0,7,10,0,10,5,8,10
35,NANCI SANCHEZ,4,10,2,6,7,5,8,9,1,3,0,1,8
36,CATHERINE ELLIOTT,9,9,8,8,4,10,5,8,1,0,2,9,5
37,KRISTA DRAKE,9,3,8,1,0,4,6,0,10,9,3,1,0
38,DENISHA WHALEY,4,4,0,3,0,0,0,7,9,10,10,4,8
39,MELYNDA SANTANA,2,5,2,3,5,9,7,10,5,6,6,4,1
40,BRITT CLIFTON,7,5,4,2,4,8,9,2,3,4,7,0,6
41,ISABELLE NASH,2,9,3,0,2,1,0,6,0,7,9,8,7
42,RITA AGUILAR,3,0,0,4,4,0,10,10,1,9,2,6,4
43,PILAR PAUL,2,6,3,1,0,8,1,5,0,9,9,7,5
44,LUCIO QUINONES,6,5,7,5,6,10,3,7,9,6,10,1,0
45,JUSTINA DEAL,9,8,1,9,6,5,6,6,7,5,6,7,1
46,TRESA FORREST,8,5,8,6,4,5,4,6,5,10,3,5,8
47,JONNIE ARCHER,0,1,1,5,9,6,0,1,6,3,6,8,3
48,ANDRE GIPSON,8,1,8,3,10,5,3,10,10,5,6,0,8
49,GIANNA LEE,4,5,9,1,9,0,1,5,2,2,4,5,0
50,SHANTELLE ONEIL,4,6,8,10,7,2,9,5,3,3,1,4,8
51,EUSTOLIA JENSEN,5,7,7,10,9,3,7,7,0,0,3,7,2
52,CATHEY DOLAN,8,7,10,6,5,8,5,5,4,4,6,3,1
53,REGENA BARBER,7,10,8,3,4,4,5,7,6,8,5,3,4
54,BERNADETTE VIGIL,7,8,8,6,2,5,7,1,3,10,8,3,5
55,HARRISON BROWNE,8,3,0,8,8,2,9,5,0,1,8,0,5
56,CRISSY WINTER,2,6,9,5,3,8,5,8,9,2,9,6,4
57,KATHLINE TOTH,7,3,4,8,9,8,9,6,5,3,9,0,0
58,LUANA MCRAE,3,6,6,1,5,6,6,3,7,6,2,1,1
59,EVA PHAN,8,10,8,2,4,1,9,0,6,0,10,10,3
60,MILTON RICH,3,4,4,0,9,10,7,4,7,5,3,1,8
61,AUTUMN DREW,6,1,1,9,2,6,2,4,5,3,7,4,3
62,AMANDA MAHER,1,9,0,8,5,10,10,3,9,2,8,8,6
63,KARL MARSHALL,2,7,7,1,0,0,7,6,1,1,5,10,2
64,MISTIE BENDER,3,2,10,5,0,8,7,7,6,6,6,3,9
65,EDUARDO MITCHELL,7,3,3,8,8,5,0,5,2,7,10,8,9
66,TONIE MAYS,5,8,1,6,8,3,0,6,6,10,1,3,2
67,CANDIDA ERNST,5,4,8,8,4,1,10,8,2,7,2,7,8
68,SHERRY ROSA,7,3,9,3,2,5,8,0,9,10,7,4,4
69,GOLDA BEARD,4,4,3,0,1,9,4,5,6,3,2,9,1
70,ESTELA LEACH,8,0,0,9,3,7,1,9,8,9,9,2,9
71,MIYOKO CANTU,7,2,6,5,1,9,8,2,1,10,1,2,10
72,RUBY GUERRA,0,2,2,5,7,0,2,1,5,1,3,1,10
73,TREVA MCCRAY,1,4,4,8,10,2,5,5,2,3,4,9,4
74,BEE MINOR,0,9,8,2,0,3,4,8,3,9,3,5,2
75,MITZI EUBANKS,8,2,2,10,8,6,10,1,8,10,8,1,9
76,HOWARD PELLETIER,5,5,7,1,0,6,6,4,2,4,8,8,5
77,JIMMIE CONTRERAS,2,6,6,7,3,6,9,0,1,5,7,1,4
78,CHRISSY MACIAS,1,4,9,1,10,0,8,2,6,7,0,5,0
79,GABRIELLA SNOW,7,3,7,7,7,2,0,2,6,0,5,8,10
80,HONG HERNDON,1,0,0,8,0,9,8,2,2,3,4,8,5
81,YADIRA GRAHAM,6,10,3,5,2,8,6,5,10,5,8,6,8
82,SUZANNE UNDERWOOD,2,2,2,1,10,3,8,2,8,8,4,1,2
83,SUZAN FRAZIER,2,5,1,4,4,3,3,3,2,10,5,10,9
84,ENRIQUETA ERWIN,10,8,7,0,3,2,4,3,1,1,0,4,0
85,HELENE SANDS,6,8,0,6,9,3,5,6,4,8,4,0,2
86,BRITTENY STRATTON,6,7,10,5,9,8,1,4,6,7,8,2,2
87,ANTONY SIEGEL,6,7,1,4,2,0,2,10,0,9,8,0,0
88,PHYLIS PENA,10,0,10,10,2,3,1,7,5,2,9,0,7
89,PAMELLA GOLDSTEIN,1,0,4,7,5,8,10,10,0,2,9,4,4
90,SUNDAY DANG,4,10,6,0,6,9,10,4,10,6,10,4,3
91,VERONA BUCKNER,1,3,2,6,0,7,0,2,2,10,10,1,7
